InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536401,22382,LUNCH BAG SPACEBOY DESIGN ,2,2010-12-01 11:21:00,1.65,15862.0,United Kingdom
536401,22384,LUNCH BAG PINK POLKADOT,1,2010-12-01 11:21:00,1.65,15862.0,United Kingdom
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2010-12-01 11:22:00,2.55,15513.0,United Kingdom
536403,POST,POSTAGE,1,2010-12-01 11:27:00,15.0,12791.0,Netherlands
536404,22469,HEART OF WICKER SMALL,12,2010-12-01 11:29:00,1.65,16218.0,United Kingdom
536404,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 11:29:00,0.55,16218.0,United Kingdom
536404,20728,LUNCH BAG CARS BLUE,10,2010-12-01 11:29:00,1.65,16218.0,United Kingdom
536404,20727,LUNCH BAG  BLACK SKULL.,10,2010-12-01 11:29:00,1.65,16218.0,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 11:33:00,2.55,17850.0,United Kingdom
536406,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 11:33:00,2.1,17850.0,United Kingdom
536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 11:41:00,1.69,14307.0,United Kingdom
536408,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 11:41:00,0.55,14307.0,United Kingdom
536409,21931,JUMBO STORAGE BAG SUKI,2,2010-12-01 11:45:00,1.95,17908.0,United Kingdom
536409,85099B,JUMBO BAG RED RETROSPOT,2,2010-12-01 11:45:00,1.95,17908.0,United Kingdom
536412,20728,LUNCH BAG CARS BLUE,3,2010-12-01 11:49:00,1.65,17920.0,United Kingdom
536412,22382,LUNCH BAG SPACEBOY DESIGN ,3,2010-12-01 11:49:00,1.65,17920.0,United Kingdom
536412,20727,LUNCH BAG  BLACK SKULL.,3,2010-12-01 11:49:00,1.65,17920.0,United Kingdom
536412,22961,JAM MAKING SET PRINTED,24,2010-12-01 11:49:00,1.45,17920.0,United Kingdom
536412,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 11:49:00,2.95,17920.0,United Kingdom
536412,20725,LUNCH BAG RED RETROSPOT,1,2010-12-01 11:49:00,1.65,17920.0,United Kingdom
536415,22469,HEART OF WICKER SMALL,5,2010-12-01 11:57:00,1.65,12838.0,United Kingdom
536415,22961,JAM MAKING SET PRINTED,3,2010-12-01 11:57:00,1.45,12838.0,United Kingdom
536415,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,2010-12-01 11:57:00,2.95,12838.0,United Kingdom
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-12-01 11:57:00,0.55,12838.0,United Kingdom
536425,22961,JAM MAKING SET PRINTED,12,2010-12-01 12:08:00,1.45,13758.0,United Kingdom
536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 12:22:00,1.69,14849.0,United Kingdom
536464,22386,JUMBO BAG PINK POLKADOT,1,2010-12-01 12:23:00,1.95,17968.0,United Kingdom
536464,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 12:23:00,1.95,17968.0,United Kingdom
536464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 12:23:00,1.69,17968.0,United Kingdom
536464,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 12:23:00,2.95,17968.0,United Kingdom
536464,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-12-01 12:23:00,0.55,17968.0,United Kingdom
536464,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-12-01 12:23:00,0.55,17968.0,United Kingdom
536464,22960,JAM MAKING SET WITH JARS,1,2010-12-01 12:23:00,4.25,17968.0,United Kingdom
536466,22960,JAM MAKING SET WITH JARS,6,2010-12-01 12:23:00,4.25,14849.0,United Kingdom
536466,22961,JAM MAKING SET PRINTED,12,2010-12-01 12:23:00,1.45,14849.0,United Kingdom
536477,22423,REGENCY CAKESTAND 3 TIER,16,2010-12-01 12:27:00,10.95,16210.0,United Kingdom
536477,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 12:27:00,1.95,16210.0,United Kingdom
536488,22960,JAM MAKING SET WITH JARS,8,2010-12-01 12:31:00,4.25,17897.0,United Kingdom
536488,22961,JAM MAKING SET PRINTED,1,2010-12-01 12:31:00,1.45,17897.0,United Kingdom
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-12-01 12:36:00,1.69,16552.0,United Kingdom
536502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 12:36:00,2.95,16552.0,United Kingdom
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552.0,United Kingdom
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom
536520,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-01 12:43:00,2.95,14729.0,United Kingdom
536520,22469,HEART OF WICKER SMALL,1,2010-12-01 12:43:00,1.65,14729.0,United Kingdom
536520,22469,HEART OF WICKER SMALL,2,2010-12-01 12:43:00,1.65,14729.0,United Kingdom
536522,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 12:49:00,1.95,15012.0,United Kingdom
536522,21931,JUMBO STORAGE BAG SUKI,1,2010-12-01 12:49:00,1.95,15012.0,United Kingdom
536523,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2010-12-01 12:50:00,2.95,12868.0,United Kingdom
536524,22697,GREEN REGENCY TEACUP AND SAUCER,6,2010-12-01 12:51:00,2.95,17572.0,United Kingdom
536525,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:54:00,12.75,14078.0,United Kingdom
536526,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-01 12:58:00,1.95,14001.0,United Kingdom
536526,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 12:58:00,1.95,14001.0,United Kingdom
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662.0,Germany
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2010-12-01 13:17:00,1.95,15525.0,United Kingdom
536528,22960,JAM MAKING SET WITH JARS,1,2010-12-01 13:17:00,4.25,15525.0,United Kingdom
536528,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-01 13:17:00,12.75,15525.0,United Kingdom
536528,22961,JAM MAKING SET PRINTED,1,2010-12-01 13:17:00,1.45,15525.0,United Kingdom
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2010-12-01 13:17:00,1.95,15525.0,United Kingdom
536530,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2010-12-01 13:21:00,2.95,17905.0,United Kingdom
536530,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-01 13:21:00,12.75,17905.0,United Kingdom
536530,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-01 13:21:00,1.95,17905.0,United Kingdom
536531,22727,ALARM CLOCK BAKELIKE RED ,9,2010-12-01 13:23:00,3.75,15485.0,United Kingdom
536531,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2010-12-01 13:23:00,2.55,15485.0,United Kingdom
536532,22961,JAM MAKING SET PRINTED,24,2010-12-01 13:24:00,1.45,12433.0,Norway
536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2010-12-01 13:24:00,2.95,12433.0,Norway
536536,84879,ASSORTED COLOUR BIRD ORNAMENT,80,2010-12-01 13:45:00,1.69,18144.0,United Kingdom
536537,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 13:51:00,12.75,15922.0,United Kingdom
536538,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5,2010-12-01 13:54:00,2.95,14594.0,United Kingdom
536538,22457,NATURAL SLATE HEART CHALKBOARD ,2,2010-12-01 13:54:00,2.95,14594.0,United Kingdom
536538,22469,HEART OF WICKER SMALL,8,2010-12-01 13:54:00,1.65,14594.0,United Kingdom
536539,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 14:03:00,12.75,15165.0,United Kingdom
536542,22382,LUNCH BAG SPACEBOY DESIGN ,10,2010-12-01 14:11:00,1.65,16456.0,United Kingdom
536542,20727,LUNCH BAG  BLACK SKULL.,10,2010-12-01 14:11:00,1.65,16456.0,United Kingdom
536542,22386,JUMBO BAG PINK POLKADOT,30,2010-12-01 14:11:00,1.95,16456.0,United Kingdom
536542,85099B,JUMBO BAG RED RETROSPOT,40,2010-12-01 14:11:00,1.95,16456.0,United Kingdom
536542,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,30,2010-12-01 14:11:00,1.95,16456.0,United Kingdom
536542,21931,JUMBO STORAGE BAG SUKI,40,2010-12-01 14:11:00,1.95,16456.0,United Kingdom
536542,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-01 14:11:00,2.95,16456.0,United Kingdom
536544,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,33,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22384,LUNCH BAG PINK POLKADOT,2,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22423,REGENCY CAKESTAND 3 TIER,40,2010-12-01 14:32:00,12.72,,United Kingdom
536544,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22469,HEART OF WICKER SMALL,8,2010-12-01 14:32:00,3.36,,United Kingdom
536544,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22697,GREEN REGENCY TEACUP AND SAUCER,6,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22699,ROSES REGENCY TEACUP AND SAUCER ,2,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22727,ALARM CLOCK BAKELIKE RED ,2,2010-12-01 14:32:00,7.62,,United Kingdom
536544,22960,JAM MAKING SET WITH JARS,7,2010-12-01 14:32:00,8.47,,United Kingdom
536544,22961,JAM MAKING SET PRINTED,9,2010-12-01 14:32:00,3.36,,United Kingdom
536544,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-01 14:32:00,5.91,,United Kingdom
536544,20725,LUNCH BAG RED RETROSPOT,4,2010-12-01 14:32:00,4.21,,United Kingdom
536544,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2010-12-01 14:32:00,1.28,,United Kingdom
536557,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-01 14:41:00,2.95,17841.0,United Kingdom
536560,22960,JAM MAKING SET WITH JARS,12,2010-12-01 15:00:00,3.75,13093.0,United Kingdom
536562,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 15:08:00,12.75,13468.0,United Kingdom
536569,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 15:35:00,2.95,16274.0,United Kingdom
536570,22457,NATURAL SLATE HEART CHALKBOARD ,12,2010-12-01 15:35:00,2.95,14496.0,United Kingdom
536572,22469,HEART OF WICKER SMALL,12,2010-12-01 15:40:00,1.65,16539.0,United Kingdom
536575,85099B,JUMBO BAG RED RETROSPOT,70,2010-12-01 16:01:00,1.65,13777.0,United Kingdom
536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:01:00,2.55,13777.0,United Kingdom
536576,20727,LUNCH BAG  BLACK SKULL.,60,2010-12-01 16:11:00,1.45,13777.0,United Kingdom
536576,85099B,JUMBO BAG RED RETROSPOT,30,2010-12-01 16:11:00,1.65,13777.0,United Kingdom
536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:11:00,2.55,13777.0,United Kingdom
536577,20725,LUNCH BAG RED RETROSPOT,60,2010-12-01 16:13:00,1.45,13777.0,United Kingdom
536579,20727,LUNCH BAG  BLACK SKULL.,60,2010-12-01 16:16:00,1.45,13777.0,United Kingdom
536581,85099B,JUMBO BAG RED RETROSPOT,200,2010-12-01 16:19:00,1.65,13777.0,United Kingdom
536588,22960,JAM MAKING SET WITH JARS,6,2010-12-01 16:49:00,4.25,17069.0,United Kingdom
536588,22961,JAM MAKING SET PRINTED,12,2010-12-01 16:49:00,1.45,17069.0,United Kingdom
536588,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2010-12-01 16:49:00,2.95,17069.0,United Kingdom
536590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 16:52:00,2.95,13065.0,United Kingdom
536590,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-01 16:52:00,2.95,13065.0,United Kingdom
536591,22386,JUMBO BAG PINK POLKADOT,1,2010-12-01 16:57:00,1.95,14606.0,United Kingdom
536592,20725,LUNCH BAG RED RETROSPOT,2,2010-12-01 17:06:00,4.21,,United Kingdom
536592,20727,LUNCH BAG  BLACK SKULL.,2,2010-12-01 17:06:00,4.21,,United Kingdom
536592,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2010-12-01 17:06:00,1.28,,United Kingdom
536592,21931,JUMBO STORAGE BAG SUKI,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22,2010-12-01 17:06:00,5.91,,United Kingdom
536592,22386,JUMBO BAG PINK POLKADOT,3,2010-12-01 17:06:00,4.21,,United Kingdom
536592,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2010-12-01 17:06:00,4.21,,United Kingdom
536592,22423,REGENCY CAKESTAND 3 TIER,47,2010-12-01 17:06:00,12.72,,United Kingdom
536592,22469,HEART OF WICKER SMALL,11,2010-12-01 17:06:00,3.36,,United Kingdom
536592,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-12-01 17:06:00,5.91,,United Kingdom
536592,22697,GREEN REGENCY TEACUP AND SAUCER,3,2010-12-01 17:06:00,5.91,,United Kingdom
536592,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2010-12-01 17:06:00,5.91,,United Kingdom
536592,22961,JAM MAKING SET PRINTED,1,2010-12-01 17:06:00,3.36,,United Kingdom
536592,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 17:06:00,3.19,,United Kingdom
536592,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-01 17:06:00,5.91,,United Kingdom
536592,20728,LUNCH BAG CARS BLUE,9,2010-12-01 17:06:00,1.65,,United Kingdom
536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 17:22:00,2.95,15235.0,United Kingdom
536597,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 17:35:00,2.95,18011.0,United Kingdom
536597,22384,LUNCH BAG PINK POLKADOT,1,2010-12-01 17:35:00,1.65,18011.0,United Kingdom
536599,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-02 07:49:00,3.75,15694.0,United Kingdom
536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 08:32:00,2.55,17850.0,United Kingdom
536600,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 08:32:00,2.1,17850.0,United Kingdom
536600,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 08:32:00,1.65,17850.0,United Kingdom
536602,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 08:34:00,1.65,17850.0,United Kingdom
536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 08:34:00,2.55,17850.0,United Kingdom
536604,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-02 08:43:00,2.95,14741.0,United Kingdom
536604,22961,JAM MAKING SET PRINTED,24,2010-12-02 08:43:00,1.45,14741.0,United Kingdom
536607,22386,JUMBO BAG PINK POLKADOT,10,2010-12-02 09:29:00,1.95,17732.0,United Kingdom
536607,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-02 09:29:00,1.95,17732.0,United Kingdom
536607,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 09:29:00,1.69,17732.0,United Kingdom
536607,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-02 09:29:00,12.75,17732.0,United Kingdom
536607,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-02 09:29:00,2.95,17732.0,United Kingdom
536607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 09:29:00,2.95,17732.0,United Kingdom
536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 09:41:00,2.55,17850.0,United Kingdom
536609,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 09:41:00,2.1,17850.0,United Kingdom
536609,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 09:41:00,1.65,17850.0,United Kingdom
536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 09:44:00,2.55,17850.0,United Kingdom
536612,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 09:44:00,2.1,17850.0,United Kingdom
536612,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 09:44:00,1.65,17850.0,United Kingdom
536619,22960,JAM MAKING SET WITH JARS,12,2010-12-02 10:18:00,3.75,17017.0,United Kingdom
536619,22961,JAM MAKING SET PRINTED,36,2010-12-02 10:18:00,1.45,17017.0,United Kingdom
536620,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-02 10:27:00,0.42,14135.0,United Kingdom
536620,22961,JAM MAKING SET PRINTED,12,2010-12-02 10:27:00,1.45,14135.0,United Kingdom
536623,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-02 10:39:00,2.95,15601.0,United Kingdom
536624,22727,ALARM CLOCK BAKELIKE RED ,24,2010-12-02 10:45:00,3.75,13418.0,United Kingdom
536624,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2010-12-02 10:45:00,2.95,13418.0,United Kingdom
536624,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-02 10:45:00,0.55,13418.0,United Kingdom
536627,22961,JAM MAKING SET PRINTED,12,2010-12-02 10:53:00,1.45,15658.0,United Kingdom
536627,22423,REGENCY CAKESTAND 3 TIER,4,2010-12-02 10:53:00,12.75,15658.0,United Kingdom
536627,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-02 10:53:00,2.95,15658.0,United Kingdom
536627,22699,ROSES REGENCY TEACUP AND SAUCER ,12,2010-12-02 10:53:00,2.95,15658.0,United Kingdom
536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 10:54:00,2.55,17850.0,United Kingdom
536628,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 10:54:00,2.1,17850.0,United Kingdom
536628,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 10:54:00,1.65,17850.0,United Kingdom
536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 10:56:00,2.55,17850.0,United Kingdom
536630,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 10:56:00,2.1,17850.0,United Kingdom
536630,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 10:56:00,1.65,17850.0,United Kingdom
536632,21931,JUMBO STORAGE BAG SUKI,10,2010-12-02 11:02:00,1.95,14388.0,United Kingdom
536632,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-02 11:02:00,1.95,14388.0,United Kingdom
536632,22386,JUMBO BAG PINK POLKADOT,10,2010-12-02 11:02:00,1.95,14388.0,United Kingdom
536632,22961,JAM MAKING SET PRINTED,12,2010-12-02 11:02:00,1.45,14388.0,United Kingdom
536633,22960,JAM MAKING SET WITH JARS,6,2010-12-02 11:20:00,4.25,14901.0,United Kingdom
536633,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,10,2010-12-02 11:20:00,2.95,14901.0,United Kingdom
536633,22961,JAM MAKING SET PRINTED,6,2010-12-02 11:20:00,1.45,14901.0,United Kingdom
536634,22457,NATURAL SLATE HEART CHALKBOARD ,4,2010-12-02 11:21:00,2.95,18041.0,United Kingdom
536634,20727,LUNCH BAG  BLACK SKULL.,20,2010-12-02 11:21:00,1.65,18041.0,United Kingdom
536635,22961,JAM MAKING SET PRINTED,12,2010-12-02 11:22:00,1.45,15955.0,United Kingdom
536636,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36,2010-12-02 11:23:00,2.95,15070.0,United Kingdom
536637,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2010-12-02 11:35:00,0.55,18041.0,United Kingdom
536637,22961,JAM MAKING SET PRINTED,2,2010-12-02 11:35:00,1.45,18041.0,United Kingdom
536637,22960,JAM MAKING SET WITH JARS,2,2010-12-02 11:35:00,4.25,18041.0,United Kingdom
536638,22469,HEART OF WICKER SMALL,12,2010-12-02 11:41:00,1.65,16244.0,United Kingdom
536639,22961,JAM MAKING SET PRINTED,12,2010-12-02 11:45:00,1.45,15111.0,United Kingdom
536640,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2010-12-02 11:45:00,1.95,,United Kingdom
536643,85099B,JUMBO BAG RED RETROSPOT,2,2010-12-02 11:57:00,1.95,14390.0,United Kingdom
536643,85099B,JUMBO BAG RED RETROSPOT,3,2010-12-02 11:57:00,1.95,14390.0,United Kingdom
536667,22423,REGENCY CAKESTAND 3 TIER,4,2010-12-02 12:09:00,12.75,15260.0,United Kingdom
536667,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2010-12-02 12:09:00,2.95,15260.0,United Kingdom
536670,22469,HEART OF WICKER SMALL,40,2010-12-02 12:09:00,1.45,15260.0,United Kingdom
536681,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-02 12:22:00,1.69,17287.0,United Kingdom
536681,22423,REGENCY CAKESTAND 3 TIER,3,2010-12-02 12:22:00,12.75,17287.0,United Kingdom
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-02 12:23:00,2.55,17850.0,United Kingdom
536685,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 12:23:00,2.1,17850.0,United Kingdom
536685,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 12:23:00,1.65,17850.0,United Kingdom
536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02 12:25:00,2.55,17850.0,United Kingdom
536690,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 12:25:00,2.1,17850.0,United Kingdom
536690,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,2010-12-02 12:25:00,1.65,17850.0,United Kingdom
536698,22457,NATURAL SLATE HEART CHALKBOARD ,6,2010-12-02 12:28:00,2.95,15363.0,United Kingdom
536698,22382,LUNCH BAG SPACEBOY DESIGN ,10,2010-12-02 12:28:00,1.65,15363.0,United Kingdom
